ensembl_gene,entrezgene,symbol,biotype
ENSMUSG00000000295,69692,Hddc2,protein_coding
ENSMUSG00000000296,21987,Tpd52l1,protein_coding
ENSMUSG00000000301,18618,Pemt,protein_coding
ENSMUSG00000000303,12550,Cdh1,protein_coding
ENSMUSG00000000305,12561,Cdh4,protein_coding
ENSMUSG00000000308,12716,Ckmt1,protein_coding
ENSMUSG00000000317,12029,Bcl6b,protein_coding
ENSMUSG00000000318,17312,Clec10a,protein_coding
ENSMUSG00000000320,11684,Alox12,protein_coding
ENSMUSG00000000326,12846,Comt,protein_coding
ENSMUSG00000000339,66368,Rtca,protein_coding
ENSMUSG00000000340,13171,Dbt,protein_coding
ENSMUSG00000000346,23994,Dazap2,protein_coding
ENSMUSG00000000355,68995,Mcts1,protein_coding
ENSMUSG00000000359,19700,Rem1,protein_coding
ENSMUSG00000000365,30054,Rnf17,protein_coding
ENSMUSG00000000374,216131,Trappc10,protein_coding
ENSMUSG00000000378,216527,Ccm2,protein_coding
ENSMUSG00000000381,22373,Wap,protein_coding
ENSMUSG00000000384,21379,Tbrg4,protein_coding
ENSMUSG00000000385,50528,Tmprss2,protein_coding
ENSMUSG00000000386,17857,Mx1,protein_coding
ENSMUSG00000000392,14089,Fap,protein_coding
ENSMUSG00000000394,14526,Gcg,protein_coding
ENSMUSG00000000399,66108,Ndufa9,protein_coding
ENSMUSG00000000402,54156,Egfl6,protein_coding
ENSMUSG00000000409,16818,Lck,protein_coding
ENSMUSG00000000411,58864,Tssk3,protein_coding
ENSMUSG00000000416,30785,Cttnbp2,protein_coding
ENSMUSG00000000420,14423,Galnt1,protein_coding
ENSMUSG00000000435,17877,Myf5,protein_coding
ENSMUSG00000000439,67027,Mkrn2,protein_coding
ENSMUSG00000000440,19016,Pparg,protein_coding
ENSMUSG00000000441,110157,Raf1,protein_coding
ENSMUSG00000000486,54204,Septin1,protein_coding
ENSMUSG00000000489,18591,Pdgfb,protein_coding
ENSMUSG00000000530,11482,Acvrl1,protein_coding
ENSMUSG00000000531,56149,Tamalin,protein_coding
ENSMUSG00000000532,11479,Acvr1b,protein_coding
ENSMUSG00000000538,216810,Tom1l2,protein_coding
ENSMUSG00000000544,59290,Gpa33,protein_coding
ENSMUSG00000000552,29813,Zfp385a,protein_coding
ENSMUSG00000000555,16402,Itga5,protein_coding
ENSMUSG00000000560,14395,Gabra2,protein_coding
ENSMUSG00000000561,70465,Wdr77,protein_coding
ENSMUSG00000000562,11542,Adora3,protein_coding
ENSMUSG00000000563,11950,Atp5pb,protein_coding
ENSMUSG00000000567,20682,Sox9,protein_coding
ENSMUSG00000000568,11991,Hnrnpd,protein_coding
ENSMUSG00000000579,100040563,Dynlt1c,protein_coding
ENSMUSG00000000581,57316,C1d,protein_coding
ENSMUSG00000000594,14667,Gm2a,protein_coding
ENSMUSG00000000600,79264,Krit1,protein_coding
ENSMUSG00000000605,12727,Clcn4,protein_coding
ENSMUSG00000000606,669149,Vmn2r88,protein_coding
ENSMUSG00000000617,108072,Grm6,protein_coding
ENSMUSG00000000627,20355,Sema4f,protein_coding
ENSMUSG00000000628,15277,Hk2,protein_coding
ENSMUSG00000000631,360013,Myo18a,protein_coding
ENSMUSG00000000632,20370,Sez6,protein_coding
ENSMUSG00000000673,107766,Haao,protein_coding
ENSMUSG00000000682,23833,Cd52,protein_coding
ENSMUSG00000000686,67477,Abhd15,protein_coding
ENSMUSG00000000690,15414,Hoxb6,protein_coding
ENSMUSG00000000693,16950,Loxl3,protein_coding
ENSMUSG00000000701,27382,Tcl1b5,protein_coding
ENSMUSG00000000706,12231,Btn1a1,protein_coding
ENSMUSG00000000708,18519,Kat2b,protein_coding
ENSMUSG00000000711,19344,Rab5b,protein_coding
ENSMUSG00000000724,12957,Cryba1,protein_coding
ENSMUSG00000000730,54427,Dnmt3l,protein_coding
ENSMUSG00000000731,11634,Aire,protein_coding
ENSMUSG00000000732,50723,Icosl,protein_coding
ENSMUSG00000000738,234847,Spg7,protein_coding
ENSMUSG00000000739,57429,Sult5a1,protein_coding
ENSMUSG00000000740,270106,Rpl13,protein_coding
ENSMUSG00000000743,234852,Chmp1a,protein_coding
ENSMUSG00000000751,68275,Rpa1,protein_coding
ENSMUSG00000000753,20317,Serpinf1,protein_coding
ENSMUSG00000000759,259279,Tubgcp3,protein_coding
ENSMUSG00000000766,18390,Oprm1,protein_coding
ENSMUSG00000000776,67065,Polr3d,protein_coding
ENSMUSG00000000782,21414,Tcf7,protein_coding
ENSMUSG00000000787,13205,Ddx3x,protein_coding
ENSMUSG00000000791,16161,Il12rb1,protein_coding
ENSMUSG00000000792,114479,Slc5a5,protein_coding
ENSMUSG00000000794,140493,Kcnn3,protein_coding
ENSMUSG00000000804,237898,Usp32,protein_coding
ENSMUSG00000000805,12351,Car4,protein_coding
ENSMUSG00000000811,232223,Txnrd3,protein_coding
ENSMUSG00000000817,14103,Fasl,protein_coding
ENSMUSG00000000823,269401,Zfp512b,protein_coding
ENSMUSG00000000826,13002,Dnajc5,protein_coding
ENSMUSG00000000827,66314,Tpd52l2,protein_coding
ENSMUSG00000000838,14265,Fmr1,protein_coding
ENSMUSG00000000861,14025,Bcl11a,protein_coding
ENSMUSG00000000869,16189,Il4,protein_coding
ENSMUSG00000000876,59038,Pxmp4,protein_coding
ENSMUSG00000000881,53310,Dlg3,protein_coding
ENSMUSG00000000884,13972,Gnb1l,protein_coding
ENSMUSG00000000889,13166,Dbh,protein_coding
ENSMUSG00000000901,17385,Mmp11,protein_coding
ENSMUSG00000000902,20587,Smarcb1,protein_coding
ENSMUSG00000000903,22364,Vpreb3,protein_coding
ENSMUSG00000000915,29816,Hip1r,protein_coding
ENSMUSG00000000916,100609,Nsun5,protein_coding
ENSMUSG00000000934,72960,Top1mt,protein_coding
ENSMUSG00000000938,15395,Hoxa10,protein_coding
ENSMUSG00000000942,15401,Hoxa4,protein_coding
ENSMUSG00000000957,17387,Mmp14,protein_coding
ENSMUSG00000000958,20540,Slc7a7,protein_coding
ENSMUSG00000000959,69089,Oxa1l,protein_coding
ENSMUSG00000000976,217026,Heatr6,protein_coding
ENSMUSG00000000982,20302,Ccl3,protein_coding
ENSMUSG00000000983,14038,Wfdc18,protein_coding
ENSMUSG00000001014,78369,Icam4,protein_coding
ENSMUSG00000001016,67781,Ilf2,protein_coding
ENSMUSG00000001017,66511,Chtop,protein_coding
ENSMUSG00000001018,20615,Snapin,protein_coding
ENSMUSG00000001020,20198,S100a4,protein_coding
ENSMUSG00000001021,20197,S100a3,protein_coding
ENSMUSG00000001023,20199,S100a5,protein_coding
ENSMUSG00000001025,20200,S100a6,protein_coding
ENSMUSG00000001027,110880,Scn4a,protein_coding
ENSMUSG00000001029,15896,Icam2,protein_coding
ENSMUSG00000001034,23939,Mapk7,protein_coding
ENSMUSG00000001036,13855,Epn2,protein_coding
ENSMUSG00000001039,27078,B9d1,protein_coding
ENSMUSG00000001052,99683,Sec24b,protein_coding
ENSMUSG00000001053,212706,N4bp3,protein_coding
ENSMUSG00000001054,66089,Rmnd5b,protein_coding
ENSMUSG00000001056,52530,Nhp2,protein_coding
ENSMUSG00000001062,72325,Vps9d1,protein_coding
ENSMUSG00000001065,57247,Zfp276,protein_coding
ENSMUSG00000001076,239659,C1ql4,protein_coding
ENSMUSG00000001082,68294,Mfsd10,protein_coding
ENSMUSG00000001089,269593,Luzp1,protein_coding
ENSMUSG00000001095,20500,Slc13a2,protein_coding
ENSMUSG00000001098,330171,Kctd10,protein_coding
ENSMUSG00000001100,67811,Poldip2,protein_coding
ENSMUSG00000001103,18292,Sebox,protein_coding
ENSMUSG00000001105,55978,Ift20,protein_coding
ENSMUSG00000001119,12833,Col6a1,protein_coding
ENSMUSG00000001120,59093,Pcbp3,protein_coding
ENSMUSG00000001123,16859,Lgals9,protein_coding
ENSMUSG00000001127,11836,Araf,protein_coding
ENSMUSG00000001128,18636,Cfp,protein_coding
ENSMUSG00000001131,21857,Timp1,protein_coding
ENSMUSG00000001134,22294,Uxt,protein_coding
ENSMUSG00000001138,94218,Cnnm3,protein_coding
ENSMUSG00000001143,214895,Lman2l,protein_coding
ENSMUSG00000001150,54387,Mcm3ap,protein_coding
ENSMUSG00000001151,18541,Pcnt,protein_coding
ENSMUSG00000001155,14317,Ftcd,protein_coding
ENSMUSG00000001156,17119,Mxd1,protein_coding
ENSMUSG00000001157,23885,Gmcl1,protein_coding
ENSMUSG00000001158,66618,Snrnp27,protein_coding
ENSMUSG00000001166,114643,Oas1c,protein_coding
ENSMUSG00000001168,246729,Oas1h,protein_coding
ENSMUSG00000001173,320634,Ocrl,protein_coding
ENSMUSG00000001175,12313,Calm1,protein_coding
ENSMUSG00000001211,28169,Agpat3,protein_coding
ENSMUSG00000001225,13487,Slc26a3,protein_coding
ENSMUSG00000001227,20359,Sema6b,protein_coding
ENSMUSG00000001228,18140,Uhrf1,protein_coding
ENSMUSG00000001229,224897,Dpp9,protein_coding
ENSMUSG00000001240,54409,Ramp2,protein_coding
ENSMUSG00000001247,54135,Lsr,protein_coding
ENSMUSG00000001248,52857,Gramd1a,protein_coding
ENSMUSG00000001249,15451,Hpn,protein_coding
ENSMUSG00000001260,14405,Gabrg1,protein_coding
ENSMUSG00000001270,12709,Ckb,protein_coding
ENSMUSG00000001280,20683,Sp1,protein_coding
ENSMUSG00000001281,16421,Itgb7,protein_coding
ENSMUSG00000001285,60315,Myg1,protein_coding
ENSMUSG00000001288,19411,Rarg,protein_coding
ENSMUSG00000001289,56612,Pfdn5,protein_coding
ENSMUSG00000001300,13642,Efnb2,protein_coding
ENSMUSG00000001305,67223,Rrp15,protein_coding
ENSMUSG00000001313,11858,Rnd2,protein_coding
ENSMUSG00000001323,27364,Srr,protein_coding
ENSMUSG00000001333,68828,Sync,protein_coding
ENSMUSG00000001334,384061,Fndc5,protein_coding
ENSMUSG00000001348,11433,Acp5,protein_coding
ENSMUSG00000001349,12797,Cnn1,protein_coding
ENSMUSG00000001366,71538,Fbxo9,protein_coding
ENSMUSG00000001376,73288,Vps50,protein_coding
ENSMUSG00000001383,66492,Zmat2,protein_coding
ENSMUSG00000001403,68612,Ube2c,protein_coding
ENSMUSG00000001415,229512,Smg5,protein_coding
ENSMUSG00000001416,12462,Cct3,protein_coding
ENSMUSG00000001418,56700,Glmp,protein_coding
ENSMUSG00000001419,17261,Mef2d,protein_coding
ENSMUSG00000001420,71913,Tmem79,protein_coding
ENSMUSG00000001424,56463,Snd1,protein_coding
ENSMUSG00000001435,12822,Col18a1,protein_coding
ENSMUSG00000001436,20509,Slc19a1,protein_coding
ENSMUSG00000001440,16211,Kpnb1,protein_coding
ENSMUSG00000001441,19155,Npepps,protein_coding
ENSMUSG00000001444,57765,Tbx21,protein_coding
ENSMUSG00000001445,107732,Mrpl10,protein_coding
ENSMUSG00000001467,13121,Cyp51,protein_coding
ENSMUSG00000001472,66855,Tcf25,protein_coding
ENSMUSG00000001473,67951,Tubb6,protein_coding
ENSMUSG00000001482,23854,Def8,protein_coding
ENSMUSG00000001493,17285,Meox1,protein_coding
ENSMUSG00000001494,74499,Sost,protein_coding
ENSMUSG00000001496,21869,Nkx2-1,protein_coding
ENSMUSG00000001497,18511,Pax9,protein_coding
ENSMUSG00000001504,16372,Irx2,protein_coding
ENSMUSG00000001506,12842,Col1a1,protein_coding
ENSMUSG00000001507,16400,Itga3,protein_coding
ENSMUSG00000001508,20391,Sgca,protein_coding
ENSMUSG00000001510,13393,Dlx3,protein_coding
ENSMUSG00000001517,14235,Foxm1,protein_coding
ENSMUSG00000001518,101142,Itfg2,protein_coding
ENSMUSG00000001520,60345,Nrip2,protein_coding
ENSMUSG00000001521,22158,Tulp3,protein_coding
ENSMUSG00000001524,14885,Gtf2h4,protein_coding
ENSMUSG00000001525,22154,Tubb5,protein_coding
ENSMUSG00000001542,192657,Ell2,protein_coding
ENSMUSG00000001552,16480,Jup,protein_coding
ENSMUSG00000001555,14230,Fkbp10,protein_coding
ENSMUSG00000001558,66720,Klhl10,protein_coding
ENSMUSG00000001566,15285,Mnx1,protein_coding
ENSMUSG00000001569,433864,Nom1,protein_coding
ENSMUSG00000001576,67458,Ergic1,protein_coding
ENSMUSG00000001583,83813,Tnk1,protein_coding
ENSMUSG00000001588,216859,Acap1,protein_coding
ENSMUSG00000001604,21401,Tcea3,protein_coding
ENSMUSG00000001622,12994,Csn3,protein_coding
ENSMUSG00000001627,15982,Ifrd1,protein_coding
ENSMUSG00000001630,232533,Stk38l,protein_coding
ENSMUSG00000001632,78783,Brpf1,protein_coding
ENSMUSG00000001655,15422,Hoxc13,protein_coding
ENSMUSG00000001656,109663,Hoxc11,protein_coding
ENSMUSG00000001657,15426,Hoxc8,protein_coding
ENSMUSG00000001661,15425,Hoxc6,protein_coding
ENSMUSG00000001663,14871,Gstt1,protein_coding
ENSMUSG00000001665,103140,Gstt3,protein_coding
ENSMUSG00000001666,13202,Ddt,protein_coding
ENSMUSG00000001670,234724,Tat,protein_coding
ENSMUSG00000001672,73608,Marveld3,protein_coding
ENSMUSG00000001674,66942,Ddx18,protein_coding
ENSMUSG00000001687,24109,Ubl3,protein_coding
ENSMUSG00000001707,66143,Eef1e1,protein_coding
ENSMUSG00000001729,11651,Akt1,protein_coding
ENSMUSG00000001739,60363,Cldn15,protein_coding
ENSMUSG00000001741,16170,Il16,protein_coding
ENSMUSG00000001750,27060,Tcirg1,protein_coding
ENSMUSG00000001751,27419,Naglu,protein_coding
ENSMUSG00000001755,71743,Coasy,protein_coding
ENSMUSG00000001761,319757,Smo,protein_coding
ENSMUSG00000001763,232670,Tspan33,protein_coding
ENSMUSG00000001767,66877,Crnkl1,protein_coding
ENSMUSG00000001768,74030,Rin2,protein_coding
ENSMUSG00000001773,53320,Folh1,protein_coding
ENSMUSG00000001774,66917,Chordc1,protein_coding
ENSMUSG00000001783,28088,Rtcb,protein_coding
ENSMUSG00000001785,103136,Pwp1,protein_coding
ENSMUSG00000001786,69754,Fbxo7,protein_coding
ENSMUSG00000001794,12336,Capns1,protein_coding
ENSMUSG00000001802,435965,Lrp3,protein_coding
ENSMUSG00000001804,16769,Dsg4,protein_coding
ENSMUSG00000001815,14029,Evx2,protein_coding
ENSMUSG00000001819,15433,Hoxd13,protein_coding
ENSMUSG00000001823,15432,Hoxd12,protein_coding
ENSMUSG00000001827,14275,Folr1,protein_coding
ENSMUSG00000001829,20480,Clpb,protein_coding
ENSMUSG00000001833,235072,Septin7,protein_coding
ENSMUSG00000001844,72881,Zdhhc4,protein_coding
ENSMUSG00000001847,19353,Rac1,protein_coding
ENSMUSG00000001855,227720,Nup214,protein_coding
ENSMUSG00000001864,108897,Aif1l,protein_coding
ENSMUSG00000001865,12873,Cpa3,protein_coding
ENSMUSG00000001870,268977,Ltbp1,protein_coding
ENSMUSG00000001891,216558,Ugp2,protein_coding
ENSMUSG00000001901,192775,Kcnh6,protein_coding
ENSMUSG00000001909,212528,Trmt1,protein_coding
ENSMUSG00000001910,66830,Nacc1,protein_coding
ENSMUSG00000001911,18032,Nfix,protein_coding
ENSMUSG00000001918,20514,Slc1a5,protein_coding
ENSMUSG00000001924,22201,Uba1,protein_coding
ENSMUSG00000001930,22371,Vwf,protein_coding
ENSMUSG00000001942,22619,Siae,protein_coding
ENSMUSG00000001943,57276,Vsig2,protein_coding
ENSMUSG00000001946,69524,Esam,protein_coding
ENSMUSG00000001948,20686,Spa17,protein_coding
ENSMUSG00000001962,108160,Fam50a,protein_coding
ENSMUSG00000001964,13726,Emd,protein_coding
ENSMUSG00000001983,70207,Taco1,protein_coding
ENSMUSG00000001985,14807,Grik3,protein_coding
ENSMUSG00000001986,53623,Gria3,protein_coding
ENSMUSG00000001988,18142,Npas1,protein_coding
ENSMUSG00000001995,244668,Sipa1l2,protein_coding
ENSMUSG00000001998,108011,Ap4e1,protein_coding
ENSMUSG00000001999,109778,Blvra,protein_coding
ENSMUSG00000002006,245469,Pdzd4,protein_coding
ENSMUSG00000002007,56504,Srpk3,protein_coding
ENSMUSG00000002010,15929,Idh3g,protein_coding
ENSMUSG00000002012,93843,Pnck,protein_coding
ENSMUSG00000002014,20832,Ssr4,protein_coding
ENSMUSG00000002015,27061,Bcap31,protein_coding
ENSMUSG00000002017,72722,Fam98a,protein_coding
ENSMUSG00000002020,16997,Ltbp2,protein_coding
ENSMUSG00000002028,214162,Kmt2a,protein_coding
ENSMUSG00000002031,76568,Ift46,protein_coding
ENSMUSG00000002032,71687,Tmem25,protein_coding
ENSMUSG00000002033,12502,Cd3g,protein_coding
ENSMUSG00000002043,67091,Trappc6a,protein_coding
ENSMUSG00000002052,20926,Supt6,protein_coding
ENSMUSG00000002055,54141,Spag5,protein_coding
ENSMUSG00000002057,15218,Foxn1,protein_coding
ENSMUSG00000002058,22248,Unc119,protein_coding
ENSMUSG00000002059,19376,Rab34,protein_coding
ENSMUSG00000002064,20316,Sdf2,protein_coding
ENSMUSG00000002068,12447,Ccne1,protein_coding
ENSMUSG00000002076,74377,Hsf2bp,protein_coding
ENSMUSG00000002083,170770,Bbc3,protein_coding
ENSMUSG00000002100,17868,Mybpc3,protein_coding
ENSMUSG00000002102,19182,Psmc3,protein_coding
ENSMUSG00000002103,11432,Acp2,protein_coding
ENSMUSG00000002104,19400,Rapsn,protein_coding
ENSMUSG00000002105,68427,Slc39a13,protein_coding
ENSMUSG00000002107,14007,Celf2,protein_coding
ENSMUSG00000002108,22259,Nr1h3,protein_coding
ENSMUSG00000002109,107986,Ddb2,protein_coding
ENSMUSG00000002111,20375,Spi1,protein_coding
ENSMUSG00000002129,67465,Sf3a1,protein_coding
ENSMUSG00000002147,20852,Stat6,protein_coding
ENSMUSG00000002190,12745,Clgn,protein_coding
ENSMUSG00000002204,16541,Napsa,protein_coding
ENSMUSG00000002205,101568,Vrk3,protein_coding
ENSMUSG00000002210,71997,Smg9,protein_coding
ENSMUSG00000002221,55982,Paxip1,protein_coding
ENSMUSG00000002222,68477,Rmnd5a,protein_coding
ENSMUSG00000002227,17454,Mov10,protein_coding
ENSMUSG00000002228,71887,Ppm1j,protein_coding
ENSMUSG00000002233,11853,Rhoc,protein_coding
ENSMUSG00000002240,73779,Prr27,protein_coding
ENSMUSG00000002249,21678,Tead3,protein_coding
ENSMUSG00000002250,19015,Ppard,protein_coding
ENSMUSG00000002257,23853,Def6,protein_coding
ENSMUSG00000002265,18616,Peg3,protein_coding
ENSMUSG00000002266,22776,Zim1,protein_coding
ENSMUSG00000002274,70083,Metrn,protein_coding
ENSMUSG00000002279,76483,Lmf1,protein_coding
ENSMUSG00000002280,67563,Ciao3,protein_coding
ENSMUSG00000002289,57875,Angptl4,protein_coding
ENSMUSG00000002297,27214,Dbf4,protein_coding
ENSMUSG00000002307,13163,Daxx,protein_coding
ENSMUSG00000002308,54219,Cd320,protein_coding
ENSMUSG00000002319,75751,Ipo4,protein_coding
ENSMUSG00000002320,74140,Tm9sf1,protein_coding
ENSMUSG00000002324,56739,Rec8,protein_coding
ENSMUSG00000002325,16391,Irf9,protein_coding
ENSMUSG00000002326,105446,Gmpr2,protein_coding
ENSMUSG00000002329,67881,Mdp1,protein_coding
ENSMUSG00000002332,52585,Dhrs1,protein_coding
ENSMUSG00000002341,13004,Ncan,protein_coding
ENSMUSG00000002342,234371,Tmem161a,protein_coding
ENSMUSG00000002343,76813,Armc6,protein_coding
ENSMUSG00000002345,72368,Borcs8,protein_coding
ENSMUSG00000002346,73095,Slc25a42,protein_coding
ENSMUSG00000002365,66616,Snx9,protein_coding
ENSMUSG00000002372,71810,Ranbp3,protein_coding
ENSMUSG00000002379,69875,Ndufa11,protein_coding
ENSMUSG00000002384,12164,Bmp8b,protein_coding
ENSMUSG00000002393,13864,Nr2f6,protein_coding
ENSMUSG00000002395,67023,Use1,protein_coding
ENSMUSG00000002396,77090,Ocel1,protein_coding
ENSMUSG00000002409,13549,Dyrk1b,protein_coding
ENSMUSG00000002413,109880,Braf,protein_coding
ENSMUSG00000002416,68198,Ndufb2,protein_coding
ENSMUSG00000002428,20585,Hltf,protein_coding
ENSMUSG00000002455,68879,Prpf6,protein_coding
ENSMUSG00000002458,56470,Rgs19,protein_coding
ENSMUSG00000002459,58175,Rgs20,protein_coding
ENSMUSG00000002475,106861,Abhd3,protein_coding
ENSMUSG00000002477,20641,Snrpd1,protein_coding
ENSMUSG00000002486,77832,Tchp,protein_coding
ENSMUSG00000002489,21844,Tiam1,protein_coding
ENSMUSG00000002496,22084,Tsc2,protein_coding
ENSMUSG00000002500,66211,Rpl3l,protein_coding
ENSMUSG00000002524,67959,Puf60,protein_coding
ENSMUSG00000002546,99412,Golga2,protein_coding
ENSMUSG00000002550,22245,Uck1,protein_coding
ENSMUSG00000002565,20259,Scin,protein_coding
ENSMUSG00000002578,22781,Ikzf4,protein_coding
ENSMUSG00000002580,103742,Mien1,protein_coding
ENSMUSG00000002588,18979,Pon1,protein_coding
ENSMUSG00000002602,26362,Axl,protein_coding
ENSMUSG00000002603,21803,Tgfb1,protein_coding
ENSMUSG00000002608,52132,Ccdc97,protein_coding
ENSMUSG00000002617,22700,Zfp40,protein_coding
ENSMUSG00000002625,54194,Akap8l,protein_coding
ENSMUSG00000002633,20423,Shh,protein_coding
ENSMUSG00000002635,68079,Pdcd2l,protein_coding
ENSMUSG00000002658,98053,Gtf2f1,protein_coding
ENSMUSG00000002660,53895,Clpp,protein_coding
ENSMUSG00000002661,66400,Alkbh7,protein_coding
ENSMUSG00000002664,19197,Pspn,protein_coding
ENSMUSG00000002668,70785,Dennd1c,protein_coding
ENSMUSG00000002679,69792,Med6,protein_coding
ENSMUSG00000002688,18760,Prkd1,protein_coding
ENSMUSG00000002699,16822,Lcp2,protein_coding
ENSMUSG00000002718,110750,Cse1l,protein_coding
ENSMUSG00000002728,67877,Naa20,protein_coding
ENSMUSG00000002731,23992,Prkra,protein_coding
ENSMUSG00000002732,14231,Fkbp7,protein_coding
ENSMUSG00000002733,83435,Plekha3,protein_coding
ENSMUSG00000002741,56418,Ykt6,protein_coding
ENSMUSG00000002748,22385,Baz1b,protein_coding
ENSMUSG00000002763,224824,Pex6,protein_coding
ENSMUSG00000002767,27398,Mrpl2,protein_coding
ENSMUSG00000002768,17256,Mea1,protein_coding
ENSMUSG00000002769,14711,Gnmt,protein_coding
ENSMUSG00000002771,14814,Grin2d,protein_coding
ENSMUSG00000002778,68137,Kdelr1,protein_coding
ENSMUSG00000002781,70209,Tmem143,protein_coding
ENSMUSG00000002797,110175,Ggct,protein_coding
ENSMUSG00000002799,16450,Jag2,protein_coding
ENSMUSG00000002803,399566,Btbd6,protein_coding
ENSMUSG00000002804,66174,Nudt14,protein_coding
ENSMUSG00000002808,105298,Epdr1,protein_coding
ENSMUSG00000002812,14248,Flii,protein_coding
ENSMUSG00000002814,21975,Top3a,protein_coding
ENSMUSG00000002820,235040,Atg4d,protein_coding
ENSMUSG00000002825,60507,Qtrt1,protein_coding
ENSMUSG00000002831,57435,Plin4,protein_coding
ENSMUSG00000002833,15193,Hdgfl2,protein_coding
ENSMUSG00000002835,27221,Chaf1a,protein_coding
ENSMUSG00000002844,11544,Adprh,protein_coding
ENSMUSG00000002845,67846,Tmem39a,protein_coding
ENSMUSG00000002846,76916,Timmdc1,protein_coding
ENSMUSG00000002847,85031,Pla1a,protein_coding
ENSMUSG00000002870,17216,Mcm2,protein_coding
ENSMUSG00000002871,24100,Tpra1,protein_coding
ENSMUSG00000002881,17936,Nab1,protein_coding
ENSMUSG00000002885,26364,Adgre5,protein_coding
ENSMUSG00000002897,16172,Il17ra,protein_coding
ENSMUSG00000002900,16777,Lamb1,protein_coding
ENSMUSG00000002908,84036,Kcnn1,protein_coding
ENSMUSG00000002910,70807,Arrdc2,protein_coding
ENSMUSG00000002930,19051,Ppp1r17,protein_coding
ENSMUSG00000002944,12491,Cd36,protein_coding
ENSMUSG00000002948,26400,Map2k7,protein_coding
ENSMUSG00000002949,21856,Timm44,protein_coding
ENSMUSG00000002957,11772,Ap2a2,protein_coding
ENSMUSG00000002963,59047,Pnkp,protein_coding
ENSMUSG00000002968,75613,Med25,protein_coding
ENSMUSG00000002980,57278,Bcam,protein_coding
ENSMUSG00000002981,56457,Clptm1,protein_coding
ENSMUSG00000002983,19698,Relb,protein_coding
ENSMUSG00000002984,53333,Tomm40,protein_coding
ENSMUSG00000002985,11816,Apoe,protein_coding
ENSMUSG00000002992,11813,Apoc2,protein_coding
ENSMUSG00000002996,73389,Hbp1,protein_coding
ENSMUSG00000002997,19088,Prkar2b,protein_coding
ENSMUSG00000003031,12576,Cdkn1b,protein_coding
ENSMUSG00000003032,16600,Klf4,protein_coding
ENSMUSG00000003033,11767,Ap1m1,protein_coding
ENSMUSG00000003037,17274,Rab8a,protein_coding
ENSMUSG00000003038,15331,Hmgn2,protein_coding
ENSMUSG00000003039,67922,Fam32a,protein_coding
ENSMUSG00000003051,13710,Elf3,protein_coding
ENSMUSG00000003053,13095,Cyp2c29,protein_coding
ENSMUSG00000003062,76205,Stard3nl,protein_coding
